realDate,Date,Adj_Close,Adj_Won,Open,High,Low,Volume
2002.10.08,20021008,2000.0,30.0,1950.0,2000.0,1910.0,23196.0
2002.10.09,20021009,2000.0,0.0,2010.0,2040.0,1920.0,19777.0
2002.10.10,20021010,1950.0,-50.0,1920.0,1970.0,1900.0,22280.0
2002.10.11,20021011,1900.0,-50.0,1970.0,2030.0,1880.0,19257.0
2002.10.14,20021014,1970.0,70.0,1920.0,2000.0,1890.0,37070.0
2002.10.15,20021015,2010.0,40.0,1950.0,2100.0,1940.0,53850.0
2002.10.16,20021016,2040.0,30.0,2140.0,2180.0,2010.0,147237.0
2002.10.17,20021017,1990.0,-50.0,2130.0,2130.0,1960.0,57726.0
2002.10.18,20021018,2010.0,20.0,2010.0,2070.0,2010.0,93122.0
2002.10.21,20021021,2040.0,30.0,2030.0,2080.0,1990.0,77265.0
2002.10.22,20021022,2280.0,240.0,2080.0,2280.0,2080.0,411966.0
2002.10.23,20021023,2270.0,-10.0,2330.0,2340.0,2210.0,187006.0
2002.10.24,20021024,2330.0,60.0,2330.0,2400.0,2180.0,209312.0
2002.10.25,20021025,2400.0,70.0,2290.0,2400.0,2240.0,130406.0
2002.10.28,20021028,2300.0,-100.0,2430.0,2440.0,2300.0,136877.0
2002.10.29,20021029,2070.0,-230.0,2230.0,2270.0,2060.0,161950.0
2002.10.30,20021030,2040.0,-30.0,2100.0,2110.0,2000.0,60428.0
2002.10.31,20021031,1930.0,-110.0,2060.0,2070.0,1890.0,158772.0
2002.11.01,20021101,1970.0,40.0,1920.0,1980.0,1920.0,60646.0
2002.11.04,20021104,1970.0,0.0,1930.0,1990.0,1930.0,69259.0
2002.11.05,20021105,1980.0,10.0,1960.0,2000.0,1940.0,62006.0
2002.11.06,20021106,2020.0,40.0,1970.0,2050.0,1970.0,39747.0
2002.11.07,20021107,2040.0,20.0,1980.0,2070.0,1980.0,49301.0
2002.11.08,20021108,1900.0,-140.0,2010.0,2080.0,1900.0,45725.0
2002.11.11,20021111,1900.0,0.0,1900.0,1970.0,1800.0,48183.0
2002.11.12,20021112,1860.0,-40.0,1860.0,1910.0,1830.0,14214.0
2002.11.13,20021113,1980.0,120.0,1860.0,2080.0,1850.0,146319.0
2002.11.14,20021114,1760.0,-220.0,2010.0,2030.0,1750.0,150795.0
2002.11.15,20021115,1860.0,100.0,1800.0,1860.0,1750.0,82349.0
2002.11.18,20021118,1810.0,-50.0,1880.0,1880.0,1770.0,35026.0
2002.11.19,20021119,1770.0,-40.0,1770.0,1820.0,1760.0,44045.0
2002.11.20,20021120,1820.0,50.0,1750.0,1820.0,1750.0,51045.0
2002.11.21,20021121,1800.0,-20.0,1810.0,1830.0,1760.0,41450.0
2002.11.22,20021122,1760.0,-40.0,1800.0,1810.0,1750.0,90469.0
2002.11.25,20021125,1700.0,-60.0,1760.0,1770.0,1700.0,84301.0
2002.11.26,20021126,1710.0,10.0,1680.0,1730.0,1680.0,44090.0
2002.11.27,20021127,1770.0,60.0,1750.0,1840.0,1710.0,84734.0
2002.11.28,20021128,1780.0,10.0,1770.0,1830.0,1770.0,38713.0
2002.11.29,20021129,1800.0,20.0,1780.0,1810.0,1770.0,56630.0
2002.12.02,20021202,1960.0,160.0,1820.0,2010.0,1800.0,217861.0
2002.12.03,20021203,1960.0,0.0,1940.0,2030.0,1930.0,82110.0
2002.12.04,20021204,1800.0,-160.0,1950.0,1950.0,1800.0,62834.0
2002.12.05,20021205,1830.0,30.0,1780.0,1860.0,1730.0,132784.0
2002.12.06,20021206,1830.0,0.0,1850.0,1850.0,1800.0,63240.0
2002.12.09,20021209,1910.0,80.0,1850.0,1960.0,1850.0,118975.0
